customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
CUST00021,Female,0,No,No,55,No,No,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Two year,No,Electronic check,33.58,No
CUST00022,Male,0,Yes,No,37,No,No phone service,No,No,No internet service,Yes,No,No internet service,Yes,One year,No,Credit card (automatic),24.27,Yes
CUST00023,Female,1,Yes,Yes,20,No,No,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,67.18,Yes
CUST00024,Female,0,Yes,Yes,9,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),116.64,Yes
CUST00025,Female,0,Yes,Yes,25,No,No phone service,No,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),115.62,No
CUST00026,Female,0,Yes,No,7,No,Yes,No,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),42.74,Yes
CUST00027,Female,0,Yes,Yes,7,No,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,One year,No,Credit card (automatic),47.8,No
CUST00028,Female,0,Yes,No,59,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Credit card (automatic),75.11,No
CUST00029,Female,1,Yes,Yes,71,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Two year,No,Electronic check,18,No
CUST00030,Female,0,No,No,33,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,One year,No,Credit card (automatic),52.42,No
CUST00031,Male,0,Yes,No,15,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No,One year,Yes,Credit card (automatic),76.68,No
CUST00032,Male,0,No,Yes,12,No,No phone service,No,No,Yes,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,63.1,Yes
CUST00033,Female,1,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,18,No
CUST00034,Female,1,No,No,26,No,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),18,Yes
CUST00035,Female,1,Yes,No,63,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),27.07,No
CUST00036,Male,1,Yes,Yes,1,No,Yes,No,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,67.68,No
CUST00037,Female,0,Yes,No,25,No,Yes,No,No internet service,Yes,Yes,No internet service,No,Yes,Two year,Yes,Electronic check,44.92,No
CUST00038,Male,1,No,Yes,68,No,No,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,One year,Yes,Electronic check,116.72,No
CUST00039,Male,0,No,Yes,29,No,Yes,No,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,29.91,No
CUST00040,Male,0,No,No,7,No,No,No,No internet service,No internet service,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),106.84,No
CUST00041,Male,1,No,Yes,37,Yes,No phone service,No,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),33.91,No
CUST00042,Male,1,Yes,No,60,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,120,No
CUST00043,Female,1,Yes,Yes,64,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,89.87,Yes
CUST00044,Female,1,Yes,No,66,No,Yes,No,No internet service,No,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),18,No
CUST00045,Female,1,No,Yes,45,Yes,Yes,No,No,No internet service,Yes,No,No,No internet service,Two year,No,Credit card (automatic),106.51,No
CUST00046,Female,0,Yes,No,71,No,No phone service,No,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),56.14,No
CUST00047,Female,1,No,No,42,Yes,No phone service,No,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,97.84,No
CUST00048,Male,1,No,No,58,Yes,No,No,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,69.67,No
CUST00049,Female,1,No,No,45,No,No,No,No internet service,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,59.35,No
CUST00050,Female,0,No,Yes,71,No,No phone service,DSL,No internet service,No,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),62.39,No
CUST00051,Male,1,No,Yes,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),34.86,Yes
CUST00052,Female,0,Yes,No,38,Yes,No,No,Yes,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,56.78,No
CUST00053,Male,1,No,Yes,50,No,Yes,No,No internet service,Yes,No,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),31.23,No
CUST00054,Female,1,No,No,3,No,No,No,Yes,No,No,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),55.84,No
CUST00055,Male,0,Yes,No,50,Yes,No,Fiber optic,No,No,No internet service,Yes,No,Yes,Two year,Yes,Credit card (automatic),75.85,No
CUST00056,Female,1,No,Yes,4,Yes,No,No,No internet service,No,No,Yes,No,Yes,One year,No,Electronic check,101.73,No
CUST00057,Female,0,No,Yes,54,Yes,No phone service,No,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),114.6,Yes
CUST00058,Male,0,Yes,No,19,No,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Credit card (automatic),69.63,No
CUST00059,Male,0,Yes,Yes,23,No,No phone service,No,No internet service,Yes,No internet service,No,Yes,Yes,Two year,No,Electronic check,36.22,No
CUST00060,Male,1,Yes,No,35,No,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Two year,No,Mailed check,68.45,No
CUST00061,Male,1,No,Yes,33,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),65.15,Yes
CUST00062,Male,1,Yes,Yes,53,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,109.53,No
CUST00063,Male,0,Yes,Yes,33,No,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),96.26,No
CUST00064,Male,1,Yes,Yes,16,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.98,No
CUST00065,Male,0,No,Yes,4,Yes,No phone service,No,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Electronic check,115.62,Yes
CUST00066,Female,1,Yes,No,17,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,No,One year,Yes,Bank transfer (automatic),54.81,No
CUST00067,Female,0,No,Yes,54,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),88.81,No
CUST00068,Male,0,No,Yes,52,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),54.85,No
CUST00069,Female,0,Yes,No,49,No,No phone service,No,Yes,No internet service,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),55.85,No
CUST00070,Female,1,No,No,71,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),18,No
CUST00071,Female,0,No,No,44,No,No phone service,Fiber optic,Yes,No,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,73.03,No
CUST00072,Female,0,Yes,Yes,12,No,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),73.88,No
CUST00073,Male,0,No,Yes,15,No,No phone service,No,Yes,No internet service,No,Yes,No,No,Two year,No,Electronic check,65.89,No
CUST00074,Female,0,Yes,No,12,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,83.62,No
CUST00075,Male,0,No,No,19,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,99.99,No
CUST00076,Female,0,No,No,65,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),69.47,No
CUST00077,Female,1,Yes,No,46,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.1,No
CUST00078,Female,1,Yes,Yes,18,Yes,Yes,No,No internet service,No,Yes,No internet service,No,Yes,Two year,No,Credit card (automatic),81.21,No
CUST00079,Male,0,No,Yes,44,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,Yes,No,Two year,No,Bank transfer (automatic),102.29,No
CUST00080,Female,1,No,Yes,36,Yes,No phone service,No,No internet service,No,No,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),85.99,No
CUST00081,Male,1,Yes,Yes,53,No,No phone service,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,One year,No,Electronic check,120,Yes
CUST00082,Female,0,No,Yes,5,Yes,No phone service,No,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),77.95,Yes
CUST00083,Male,0,No,No,13,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),41.88,No
CUST00084,Female,0,No,Yes,3,No,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Two year,No,Electronic check,107.85,Yes
CUST00085,Male,1,No,No,54,No,No phone service,No,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),89.24,Yes
CUST00086,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),84.26,No
CUST00087,Female,1,Yes,No,26,No,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),23.71,No
CUST00088,Male,0,Yes,Yes,6,Yes,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Mailed check,114.66,No
CUST00089,Female,1,Yes,No,2,No,No,DSL,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),100.05,No
CUST00090,Female,0,Yes,Yes,46,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,Two year,No,Mailed check,79.42,No
CUST00091,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,18,No
CUST00092,Female,1,No,Yes,24,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),59.85,Yes
CUST00093,Female,1,Yes,No,59,No,No,No,No,No internet service,No,Yes,No,No,One year,Yes,Credit card (automatic),120,Yes
CUST00094,Female,1,No,Yes,23,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.31,Yes
CUST00095,Female,1,No,No,14,No,No,DSL,Yes,No,No,Yes,No,No internet service,Month-to-month,No,Mailed check,33.7,No
CUST00096,Female,1,No,No,13,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,Yes,One year,No,Mailed check,53.28,No
CUST00097,Female,1,Yes,No,53,No,No phone service,No,Yes,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,58.04,No
CUST00098,Female,0,No,No,5,Yes,No,DSL,No internet service,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,103.88,Yes
CUST00099,Female,1,Yes,Yes,17,Yes,No phone service,No,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,24.73,No
CUST00100,Male,0,No,Yes,19,Yes,No,No,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),101.71,Yes
CUST00101,Male,0,No,Yes,61,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Electronic check,93.69,No
CUST00102,Female,1,Yes,No,39,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,No,One year,No,Bank transfer (automatic),120,No
CUST00103,Female,0,No,No,38,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.99,No
CUST00104,Female,1,No,No,51,No,No,DSL,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,32.82,No
CUST00105,Female,1,No,No,31,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,68.56,No
CUST00106,Female,0,No,No,72,Yes,No phone service,No,No internet service,Yes,Yes,No,Yes,No internet service,One year,No,Credit card (automatic),40.26,No
CUST00107,Female,0,Yes,No,26,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),81.67,No
CUST00108,Female,1,No,Yes,51,No,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),120,No
CUST00109,Female,1,No,Yes,62,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Credit card (automatic),44.26,No
CUST00110,Male,0,Yes,Yes,62,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),97.95,No
CUST00111,Female,0,No,Yes,16,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),51.43,No
CUST00112,Male,0,No,Yes,48,No,No phone service,No,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,23.48,No
CUST00113,Female,0,No,Yes,22,No,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),117.96,No
CUST00114,Female,1,No,Yes,71,No,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),76.98,Yes
CUST00115,Male,1,Yes,Yes,12,Yes,No,No,No,Yes,Yes,No,No,No,One year,No,Electronic check,84.74,Yes
CUST00116,Female,1,No,No,22,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),95.85,No
CUST00117,Male,1,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,18.98,No
CUST00118,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,One year,Yes,Mailed check,62.03,No
CUST00119,Female,0,No,No,53,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),20.72,No
CUST00120,Male,1,No,No,19,No,Yes,DSL,No internet service,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),54.3,Yes
CUST00121,Female,1,Yes,No,51,Yes,Yes,No,Yes,No,Yes,No,No,No internet service,One year,No,Bank transfer (automatic),104.48,No
CUST00122,Male,1,No,No,22,Yes,No phone service,No,No internet service,No,No internet service,No internet service,Yes,No,Two year,Yes,Mailed check,83.49,No
CUST00123,Female,1,No,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Mailed check,51.49,No
CUST00124,Male,1,Yes,Yes,66,No,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,70.74,No
CUST00125,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),65.64,No
CUST00126,Female,1,Yes,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),79.33,No
CUST00127,Female,1,Yes,Yes,45,No,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Credit card (automatic),51.24,No
CUST00128,Male,1,No,Yes,44,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),66.32,No
CUST00129,Female,0,No,Yes,18,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,74.54,No
CUST00130,Female,1,No,Yes,14,No,No,No,No,Yes,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),82.77,Yes
CUST00131,Female,0,No,No,65,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,76.58,No
CUST00132,Male,0,Yes,Yes,38,No,No,DSL,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.86,No
CUST00133,Male,1,No,No,17,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),32.2,Yes
CUST00134,Male,1,No,No,69,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,Yes,One year,No,Credit card (automatic),88.72,No
CUST00135,Male,0,No,No,58,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),62.37,No
CUST00136,Male,0,No,Yes,31,No,No phone service,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),56.67,No
CUST00137,Male,1,Yes,No,20,No,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),62.46,Yes
CUST00138,Male,0,No,No,39,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,62.42,No
CUST00139,Male,1,No,No,26,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,No internet service,Two year,Yes,Mailed check,18,No
CUST00140,Male,1,No,No,1,No,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,120,No
CUST00141,Female,1,Yes,Yes,38,No,No phone service,No,Yes,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),66.62,No
CUST00142,Male,0,Yes,No,55,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,Yes,No,One year,No,Electronic check,70.44,Yes
CUST00143,Female,0,No,No,12,No,No,No,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),72.36,No
CUST00144,Female,1,No,No,55,Yes,Yes,No,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,98.87,No
CUST00145,Female,0,No,No,65,No,No,DSL,No internet service,No internet service,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),90.51,Yes
CUST00146,Male,0,Yes,Yes,55,Yes,No,No,Yes,No,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),67.75,No
CUST00147,Male,0,No,No,27,Yes,No phone service,No,No internet service,Yes,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),43.82,Yes
CUST00148,Male,0,No,No,63,No,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),107.1,No
CUST00149,Male,0,No,No,70,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,No,Month-to-month,No,Mailed check,71.68,No
CUST00150,Female,0,Yes,No,63,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),87.85,No
CUST00151,Male,0,No,No,55,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,One year,No,Credit card (automatic),37.46,No
CUST00152,Male,1,No,No,40,No,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,89.47,No
CUST00153,Male,0,Yes,Yes,40,No,No,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),27.25,No
CUST00154,Male,0,Yes,No,3,Yes,No phone service,No,No,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Electronic check,58.08,No
CUST00155,Male,0,No,Yes,56,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),73.99,No
CUST00156,Female,0,Yes,Yes,29,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),120,No
CUST00157,Male,0,No,No,45,No,No,No,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Electronic check,89.75,No
CUST00158,Female,0,Yes,Yes,55,No,No phone service,No,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,113.12,No
CUST00159,Male,0,Yes,No,30,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),83.8,No
CUST00160,Female,0,No,Yes,6,Yes,No,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,36.7,Yes
CUST00161,Male,1,No,No,53,No,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),36.87,No
CUST00162,Male,0,No,Yes,7,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,92.84,Yes
CUST00163,Female,0,Yes,Yes,54,No,No,DSL,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,No,Electronic check,39.95,No
CUST00164,Female,0,No,No,68,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Credit card (automatic),23.68,No
CUST00165,Female,0,No,Yes,43,No,No,No,No internet service,Yes,No,Yes,No,No internet service,One year,Yes,Mailed check,40.72,No
CUST00166,Male,1,No,Yes,12,Yes,Yes,No,Yes,No,No internet service,No,No internet service,No internet service,Two year,No,Mailed check,78.05,No
CUST00167,Female,1,No,Yes,19,No,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Mailed check,46.19,No
CUST00168,Male,1,No,Yes,31,Yes,No phone service,No,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),107.65,No
CUST00169,Male,1,Yes,Yes,59,No,Yes,DSL,No,No internet service,No,Yes,No,No,One year,No,Bank transfer (automatic),82.81,Yes
CUST00170,Female,1,No,No,49,Yes,No phone service,DSL,No internet service,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,75.68,No
CUST00171,Female,1,No,Yes,26,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,81.63,No
CUST00172,Male,1,Yes,Yes,24,Yes,No,No,No internet service,No,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,88.11,Yes
CUST00173,Male,1,No,No,51,No,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,88.55,No
CUST00174,Female,1,No,No,67,Yes,No phone service,No,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,45.49,Yes
CUST00175,Female,1,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),107.82,No
CUST00176,Female,1,No,Yes,17,No,Yes,No,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Mailed check,88.84,No
CUST00177,Male,1,No,Yes,38,Yes,Yes,No,No internet service,Yes,No internet service,Yes,No internet service,Yes,One year,No,Credit card (automatic),58.15,No
CUST00178,Male,1,Yes,Yes,14,Yes,No phone service,No,No internet service,Yes,Yes,Yes,No,No internet service,Two year,Yes,Mailed check,93.18,No
CUST00179,Male,1,Yes,Yes,52,No,No phone service,DSL,No internet service,Yes,No,No internet service,No internet service,Yes,One year,No,Mailed check,30.03,No
CUST00180,Male,1,Yes,No,37,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),95.65,No
CUST00181,Male,1,No,No,47,No,No,DSL,Yes,No internet service,No,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),78.64,No
CUST00182,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,Two year,No,Credit card (automatic),18,No
CUST00183,Female,1,No,Yes,71,No,Yes,No,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,120,No
CUST00184,Male,0,No,Yes,27,Yes,Yes,DSL,Yes,No internet service,No,No,No,No,Two year,Yes,Electronic check,30.79,No
CUST00185,Male,1,No,Yes,15,Yes,No phone service,No,Yes,No,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),87.22,Yes
